p20,variable,type,iso3,povcal_year,sex,value,survey_year
TRUE,registration,statistic,ARM,1990,male,1,2016
TRUE,registration,numerator,ARM,1990,male,1.292536,2016
TRUE,registration,denominator,ARM,1990,male,1.292536,2016
TRUE,registration,statistic,ARM,1990,female,1,2016
TRUE,registration,numerator,ARM,1990,female,0.646268,2016
TRUE,registration,denominator,ARM,1990,female,0.646268,2016
FALSE,registration,statistic,ARM,1990,male,0.807238095230706,2000
FALSE,registration,numerator,ARM,1990,male,6159.039502,2000
FALSE,registration,denominator,ARM,1990,male,7629.768142,2000
FALSE,registration,statistic,ARM,1990,female,0.794303839748388,2000
FALSE,registration,numerator,ARM,1990,female,7158.04379,2000
FALSE,registration,denominator,ARM,1990,female,9011.719989,2000
TRUE,registration,statistic,ARM,1993,male,0.323046602025754,2000
TRUE,registration,numerator,ARM,1993,male,3.52441,2000
TRUE,registration,denominator,ARM,1993,male,10.909912,2000
TRUE,registration,statistic,ARM,1993,female,0.453436262648765,2000
TRUE,registration,numerator,ARM,1993,female,7.067127,2000
TRUE,registration,denominator,ARM,1993,female,15.585712,2000
FALSE,registration,statistic,ARM,1993,male,0.807931438829254,2000
FALSE,registration,numerator,ARM,1993,male,6155.515092,2000
FALSE,registration,denominator,ARM,1993,male,7618.85823,2000
FALSE,registration,statistic,ARM,1993,female,0.794894389391516,2000
FALSE,registration,numerator,ARM,1993,female,7150.976663,2000
FALSE,registration,denominator,ARM,1993,female,8996.134277,2000
TRUE,registration,statistic,ARM,1996,male,0.154993946439596,2000
TRUE,registration,numerator,ARM,1996,male,1.142056,2000
TRUE,registration,denominator,ARM,1996,male,7.368391,2000
TRUE,registration,statistic,ARM,1996,female,0.217917274396189,2000
TRUE,registration,numerator,ARM,1996,female,2.050607,2000
TRUE,registration,denominator,ARM,1996,female,9.410025,2000
FALSE,registration,statistic,ARM,1996,male,0.807868604003894,2000
FALSE,registration,numerator,ARM,1996,male,6157.897446,2000
FALSE,registration,denominator,ARM,1996,male,7622.399751,2000
FALSE,registration,statistic,ARM,1996,female,0.794906330888031,2000
FALSE,registration,numerator,ARM,1996,female,7155.993183,2000
FALSE,registration,denominator,ARM,1996,female,9002.309964,2000
TRUE,registration,statistic,ARM,1999,male,0.154993946439596,2000
TRUE,registration,numerator,ARM,1999,male,1.142056,2000
TRUE,registration,denominator,ARM,1999,male,7.368391,2000
TRUE,registration,statistic,ARM,1999,female,0.217917274396189,2000
TRUE,registration,numerator,ARM,1999,female,2.050607,2000
TRUE,registration,denominator,ARM,1999,female,9.410025,2000
FALSE,registration,statistic,ARM,1999,male,0.807868604003894,2000
FALSE,registration,numerator,ARM,1999,male,6157.897446,2000
FALSE,registration,denominator,ARM,1999,male,7622.399751,2000
FALSE,registration,statistic,ARM,1999,female,0.794906330888031,2000
FALSE,registration,numerator,ARM,1999,female,7155.993183,2000
FALSE,registration,denominator,ARM,1999,female,9002.309964,2000
TRUE,registration,statistic,ARM,2002,male,0.0929963678637575,2005;2000
TRUE,registration,numerator,ARM,2002,male,0.6852336,2005;2000
TRUE,registration,denominator,ARM,2002,male,5.9249198,2005;2000
TRUE,registration,statistic,ARM,2002,female,0.130750364637714,2005;2000
TRUE,registration,numerator,ARM,2002,female,1.2303642,2005;2000
TRUE,registration,denominator,ARM,2002,female,7.1499002,2005;2000
FALSE,registration,statistic,ARM,2002,male,0.586102510990755,2005;2000
FALSE,registration,numerator,ARM,2002,male,4461.6045496,2005;2000
FALSE,registration,denominator,ARM,2002,male,7599.1091386,2005;2000
FALSE,registration,statistic,ARM,2002,female,0.56510611206319,2005;2000
FALSE,registration,numerator,ARM,2002,female,5137.3900782,2005;2000
FALSE,registration,denominator,ARM,2002,female,9229.7527016,2005;2000
TRUE,registration,statistic,ARM,2005,male,0,2005
TRUE,registration,numerator,ARM,2005,male,0,2005
TRUE,registration,denominator,ARM,2005,male,1.188387,2005
TRUE,registration,statistic,ARM,2005,female,0,2005
TRUE,registration,numerator,ARM,2005,female,0,2005
TRUE,registration,denominator,ARM,2005,female,1.188387,2005
FALSE,registration,statistic,ARM,2005,male,0.25336724311824,2005
FALSE,registration,numerator,ARM,2005,male,1917.165205,2005
FALSE,registration,denominator,ARM,2005,male,7566.744546,2005
FALSE,registration,statistic,ARM,2005,female,0.22034658543193,2005
FALSE,registration,numerator,ARM,2005,female,2109.485421,2005
FALSE,registration,denominator,ARM,2005,female,9573.488134,2005
TRUE,registration,statistic,ARM,2008,male,1,2016
TRUE,registration,numerator,ARM,2008,male,1.292536,2016
TRUE,registration,denominator,ARM,2008,male,1.292536,2016
TRUE,registration,statistic,ARM,2008,female,1,2016
TRUE,registration,numerator,ARM,2008,female,0.646268,2016
TRUE,registration,denominator,ARM,2008,female,0.646268,2016
FALSE,registration,statistic,ARM,2008,male,0.456647954593683,2016;2005
FALSE,registration,numerator,ARM,2008,male,1647.662671,2016;2005
FALSE,registration,denominator,ARM,2008,male,5757.60719645455,2016;2005
FALSE,registration,statistic,ARM,2008,female,0.432959444739335,2016;2005
FALSE,registration,numerator,ARM,2008,female,1754.52118636364,2016;2005
FALSE,registration,denominator,ARM,2008,female,7183.75107727273,2016;2005
TRUE,registration,statistic,ARM,2010,male,0.454545454545455,2016;2005
TRUE,registration,numerator,ARM,2010,male,0.293758181818182,2016;2005
TRUE,registration,denominator,ARM,2010,male,0.941969272727273,2016;2005
TRUE,registration,statistic,ARM,2010,female,0.454545454545455,2016;2005
TRUE,registration,numerator,ARM,2010,female,0.293758181818182,2016;2005
TRUE,registration,denominator,ARM,2010,female,0.941969272727273,2016;2005
FALSE,registration,statistic,ARM,2010,male,0.592216286539445,2016;2005
FALSE,registration,numerator,ARM,2010,male,1467.70055681818,2016;2005
FALSE,registration,denominator,ARM,2010,male,4549.78140281818,2016;2005
FALSE,registration,statistic,ARM,2010,female,0.574734501144689,2016;2005
FALSE,registration,numerator,ARM,2010,female,1517.58460509091,2016;2005
FALSE,registration,denominator,ARM,2010,female,5588.85881218182,2016;2005
TRUE,registration,statistic,ARM,2011,male,0.545454545454545,2016;2005
TRUE,registration,numerator,ARM,2011,male,0.352509818181818,2016;2005
TRUE,registration,denominator,ARM,2011,male,0.892685727272727,2016;2005
TRUE,registration,statistic,ARM,2011,female,0.545454545454545,2016;2005
TRUE,registration,numerator,ARM,2011,female,0.352509818181818,2016;2005
TRUE,registration,denominator,ARM,2011,female,0.892685727272727,2016;2005
FALSE,registration,statistic,ARM,2011,male,0.659986095223686,2016;2005
FALSE,registration,numerator,ARM,2011,male,1377.80762718182,2016;2005
FALSE,registration,denominator,ARM,2011,male,3946.38877418182,2016;2005
FALSE,registration,statistic,ARM,2011,female,0.645612084287241,2016;2005
FALSE,registration,numerator,ARM,2011,female,1399.20444190909,2016;2005
FALSE,registration,denominator,ARM,2011,female,4791.93294781818,2016;2005
TRUE,registration,statistic,ARM,2012,male,0.636363636363636,2016;2005
TRUE,registration,numerator,ARM,2012,male,0.411261454545454,2016;2005
TRUE,registration,denominator,ARM,2012,male,0.843402181818182,2016;2005
TRUE,registration,statistic,ARM,2012,female,0.636363636363636,2016;2005
TRUE,registration,numerator,ARM,2012,female,0.411261454545454,2016;2005
TRUE,registration,denominator,ARM,2012,female,0.843402181818182,2016;2005
FALSE,registration,statistic,ARM,2012,male,0.727755903907927,2016;2005
FALSE,registration,numerator,ARM,2012,male,1287.91469754545,2016;2005
FALSE,registration,denominator,ARM,2012,male,3342.99614554546,2016;2005
FALSE,registration,statistic,ARM,2012,female,0.716489667429793,2016;2005
FALSE,registration,numerator,ARM,2012,female,1280.82427872727,2016;2005
FALSE,registration,denominator,ARM,2012,female,3995.00708345455,2016;2005
TRUE,registration,statistic,ARM,2013,male,0.727272727272727,2016;2005
TRUE,registration,numerator,ARM,2013,male,0.470013090909091,2016;2005
TRUE,registration,denominator,ARM,2013,male,0.794118636363636,2016;2005
TRUE,registration,statistic,ARM,2013,female,0.727272727272727,2016;2005
TRUE,registration,numerator,ARM,2013,female,0.470013090909091,2016;2005
TRUE,registration,denominator,ARM,2013,female,0.794118636363636,2016;2005
FALSE,registration,statistic,ARM,2013,male,0.795525712592168,2016;2005
FALSE,registration,numerator,ARM,2013,male,1198.02176790909,2016;2005
FALSE,registration,denominator,ARM,2013,male,2739.60351690909,2016;2005
FALSE,registration,statistic,ARM,2013,female,0.787367250572345,2016;2005
FALSE,registration,numerator,ARM,2013,female,1162.44411554545,2016;2005
FALSE,registration,denominator,ARM,2013,female,3198.08121909091,2016;2005
TRUE,registration,statistic,ARM,2015,male,0.909090909090909,2016;2005
TRUE,registration,numerator,ARM,2015,male,0.587516363636364,2016;2005
TRUE,registration,denominator,ARM,2015,male,0.695551545454546,2016;2005
TRUE,registration,statistic,ARM,2015,female,0.909090909090909,2016;2005
TRUE,registration,numerator,ARM,2015,female,0.587516363636364,2016;2005
TRUE,registration,denominator,ARM,2015,female,0.695551545454546,2016;2005
FALSE,registration,statistic,ARM,2015,male,0.93106532996065,2016;2005
FALSE,registration,numerator,ARM,2015,male,1018.23590863636,2016;2005
FALSE,registration,denominator,ARM,2015,male,1532.81825963636,2016;2005
FALSE,registration,statistic,ARM,2015,female,0.929122416857448,2016;2005
FALSE,registration,numerator,ARM,2015,female,925.683789181818,2016;2005
FALSE,registration,denominator,ARM,2015,female,1604.22949036364,2016;2005
TRUE,registration,statistic,AGO,1990,male,0.00552245937926308,2016
TRUE,registration,numerator,AGO,1990,male,0.253586,2016
TRUE,registration,denominator,AGO,1990,male,45.919034,2016
TRUE,registration,statistic,AGO,1990,female,0.0474719672635009,2016
TRUE,registration,numerator,AGO,1990,female,1.521516,2016
TRUE,registration,denominator,AGO,1990,female,32.050831,2016
FALSE,registration,statistic,AGO,1990,male,0.461649273842522,2016
FALSE,registration,numerator,AGO,1990,male,10011.389561,2016
FALSE,registration,denominator,AGO,1990,male,21686.137352,2016
FALSE,registration,statistic,AGO,1990,female,0.45935548695306,2016
FALSE,registration,numerator,AGO,1990,female,10123.36177,2016
FALSE,registration,denominator,AGO,1990,female,22038.186236,2016
TRUE,registration,statistic,AGO,1993,male,0.0283394320219528,2016
TRUE,registration,numerator,AGO,1993,male,1.958064,2016
TRUE,registration,denominator,AGO,1993,male,69.093269,2016
TRUE,registration,statistic,AGO,1993,female,0.0422678467556693,2016
TRUE,registration,numerator,AGO,1993,female,2.524012,2016
TRUE,registration,denominator,AGO,1993,female,59.714705,2016
FALSE,registration,statistic,AGO,1993,male,0.462064447459863,2016
FALSE,registration,numerator,AGO,1993,male,10009.685083,2016
FALSE,registration,denominator,AGO,1993,male,21662.963117,2016
FALSE,registration,statistic,AGO,1993,female,0.459887280616098,2016
FALSE,registration,numerator,AGO,1993,female,10122.359274,2016
FALSE,registration,denominator,AGO,1993,female,22010.522362,2016
TRUE,registration,statistic,AGO,1996,male,0.00651662345279108,2016
TRUE,registration,numerator,AGO,1996,male,0.40467,2016
TRUE,registration,denominator,AGO,1996,male,62.09811,2016
TRUE,registration,statistic,AGO,1996,female,0.0298199311884496,2016
TRUE,registration,numerator,AGO,1996,female,1.6726,2016
TRUE,registration,denominator,AGO,1996,female,56.090002,2016
FALSE,registration,statistic,AGO,1996,male,0.461986975216638,2016
FALSE,registration,numerator,AGO,1996,male,10011.238477,2016
FALSE,registration,denominator,AGO,1996,male,21669.958276,2016
FALSE,registration,statistic,AGO,1996,female,0.459850234311133,2016
FALSE,registration,numerator,AGO,1996,female,10123.210686,2016
FALSE,registration,denominator,AGO,1996,female,22014.147065,2016
TRUE,registration,statistic,AGO,1999,male,0.00683395972194142,2016
TRUE,registration,numerator,AGO,1999,male,0.40467,2016
TRUE,registration,denominator,AGO,1999,male,59.214572,2016
TRUE,registration,statistic,AGO,1999,female,0.0346547621363718,2016
TRUE,registration,numerator,AGO,1999,female,1.6726,2016
TRUE,registration,denominator,AGO,1999,female,48.264651,2016
FALSE,registration,statistic,AGO,1999,male,0.461925508565888,2016
FALSE,registration,numerator,AGO,1999,male,10011.238477,2016
FALSE,registration,denominator,AGO,1999,male,21672.841814,2016
FALSE,registration,statistic,AGO,1999,female,0.459686829806626,2016
FALSE,registration,numerator,AGO,1999,female,10123.210686,2016
FALSE,registration,denominator,AGO,1999,female,22021.972416,2016
TRUE,registration,statistic,AGO,2002,male,0.0295440937070602,2016
TRUE,registration,numerator,AGO,2002,male,1.958064,2016
TRUE,registration,denominator,AGO,2002,male,66.275988,2016
TRUE,registration,statistic,AGO,2002,female,0.0427898641804631,2016
TRUE,registration,numerator,AGO,2002,female,2.524012,2016
TRUE,registration,denominator,AGO,2002,female,58.986212,2016
FALSE,registration,statistic,AGO,2002,male,0.462004363522673,2016
FALSE,registration,numerator,AGO,2002,male,10009.685083,2016
FALSE,registration,denominator,AGO,2002,male,21665.780398,2016
FALSE,registration,statistic,AGO,2002,female,0.459872060006106,2016
FALSE,registration,numerator,AGO,2002,female,10122.359274,2016
FALSE,registration,denominator,AGO,2002,female,22011.250855,2016
TRUE,registration,statistic,AGO,2005,male,0.0334868089515862,2016
TRUE,registration,numerator,AGO,2005,male,2.588647,2016
TRUE,registration,denominator,AGO,2005,male,77.303484,2016
TRUE,registration,statistic,AGO,2005,female,0.0389744204867851,2016
TRUE,registration,numerator,AGO,2005,female,2.524012,2016
TRUE,registration,denominator,AGO,2005,female,64.760732,2016
FALSE,registration,statistic,AGO,2005,male,0.462210515414174,2016
FALSE,registration,numerator,AGO,2005,male,10009.0545,2016
FALSE,registration,denominator,AGO,2005,male,21654.752902,2016
FALSE,registration,statistic,AGO,2005,female,0.459992736349009,2016
FALSE,registration,numerator,AGO,2005,female,10122.359274,2016
FALSE,registration,denominator,AGO,2005,female,22005.476335,2016
TRUE,registration,statistic,AGO,2008,male,0.0345728215865114,2016
TRUE,registration,numerator,AGO,2008,male,2.588647,2016
TRUE,registration,denominator,AGO,2008,male,74.875202,2016
TRUE,registration,statistic,AGO,2008,female,0.0409462922173084,2016
TRUE,registration,numerator,AGO,2008,female,2.524012,2016
TRUE,registration,denominator,AGO,2008,female,61.642016,2016
FALSE,registration,statistic,AGO,2008,male,0.462158690688451,2016
FALSE,registration,numerator,AGO,2008,male,10009.0545,2016
FALSE,registration,denominator,AGO,2008,male,21657.181184,2016
FALSE,registration,statistic,AGO,2008,female,0.459927553328311,2016
FALSE,registration,numerator,AGO,2008,female,10122.359274,2016
FALSE,registration,denominator,AGO,2008,female,22008.595051,2016
TRUE,registration,statistic,AGO,2010,male,0.0321988368826042,2016
TRUE,registration,numerator,AGO,2010,male,2.588647,2016
TRUE,registration,denominator,AGO,2010,male,80.395668,2016
TRUE,registration,statistic,AGO,2010,female,0.0450279245534365,2016
TRUE,registration,numerator,AGO,2010,female,3.225994,2016
TRUE,registration,denominator,AGO,2010,female,71.644297,2016
FALSE,registration,statistic,AGO,2010,male,0.46227652605322,2016
FALSE,registration,numerator,AGO,2010,male,10009.0545,2016
FALSE,registration,denominator,AGO,2010,male,21651.660718,2016
FALSE,registration,statistic,AGO,2010,female,0.46010476205565,2016
FALSE,registration,numerator,AGO,2010,female,10121.657292,2016
FALSE,registration,denominator,AGO,2010,female,21998.59277,2016
TRUE,registration,statistic,AGO,2011,male,0.0290442265662109,2016
TRUE,registration,numerator,AGO,2011,male,2.588647,2016
TRUE,registration,denominator,AGO,2011,male,89.127765,2016
TRUE,registration,statistic,AGO,2011,female,0.0388767036427467,2016
TRUE,registration,numerator,AGO,2011,female,3.225994,2016
TRUE,registration,denominator,AGO,2011,female,82.980132,2016
FALSE,registration,statistic,AGO,2011,male,0.462463037016547,2016
FALSE,registration,numerator,AGO,2011,male,10009.0545,2016
FALSE,registration,denominator,AGO,2011,male,21642.928621,2016
FALSE,registration,statistic,AGO,2011,female,0.460341975441604,2016
FALSE,registration,numerator,AGO,2011,female,10121.657292,2016
FALSE,registration,denominator,AGO,2011,female,21987.256935,2016
TRUE,registration,statistic,AGO,2012,male,0.0298270577107369,2016
TRUE,registration,numerator,AGO,2012,male,2.588647,2016
TRUE,registration,denominator,AGO,2012,male,86.788547,2016
TRUE,registration,statistic,AGO,2012,female,0.0388767036427467,2016
TRUE,registration,numerator,AGO,2012,female,3.225994,2016
TRUE,registration,denominator,AGO,2012,female,82.980132,2016
FALSE,registration,statistic,AGO,2012,male,0.462413058339056,2016
FALSE,registration,numerator,AGO,2012,male,10009.0545,2016
FALSE,registration,denominator,AGO,2012,male,21645.267839,2016
FALSE,registration,statistic,AGO,2012,female,0.460341975441604,2016
FALSE,registration,numerator,AGO,2012,female,10121.657292,2016
